City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
469,Saint-Pierre,RE,71.6,clear sky,-21.34,55.48,Lindsey Hôtel
472,Southbridge,US,72.0,clear sky,42.08,-72.03,Southbridge Hotel & Conference Center
478,Muros,ES,70.0,clear sky,42.78,-9.06,Apartment Av. Castelao
484,Shihezi,CN,72.48,clear sky,44.3,86.03,Home Inn Shihezi Dongwu Road Century Square
487,Poum,NC,69.33,broken clouds,-20.23,164.02,Gîte kajeon
489,Isangel,VU,66.2,broken clouds,-19.55,169.27,Volcano Sea View Tree House
497,Sumbe,AO,71.4,scattered clouds,-11.21,13.84,Hotel Ritz Sumbe
500,Hualmay,PE,65.68,overcast clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
501,Rudnya,RU,68.0,thunderstorm,54.95,31.09,Paradoks
511,Hami,CN,71.26,clear sky,42.8,93.45,Laoyutang Resort
533,Gorontalo,ID,74.91,light rain,0.54,123.06,Maqna Hotel by Prasanthi
540,Gimli,CA,70.0,overcast clouds,50.63,-96.99,Lakeview Gimli Resort
553,Huarmey,PE,66.7,broken clouds,-10.07,-78.15,Hotel Miramar
554,East Stroudsburg,US,72.0,clear sky,41.0,-75.18,Hampton Inn Stroudsburg/Poconos
560,Novoseleznevo,RU,70.32,clear sky,55.68,69.21,Uyutnaya
563,Owosso,US,68.0,overcast clouds,43.0,-84.18,Comstock Inn and Conference Center
567,Ravar,IR,73.45,clear sky,31.27,56.81,computertik
569,Cuauhtemoc,MX,71.4,overcast clouds,28.42,-106.87,Motel Tarahumara Inn
570,Yei,SS,71.47,light rain,4.09,30.68,City Link Hotel
582,Tautira,PF,69.8,few clouds,-17.73,-149.15,Pension Oaoa
591,Erenhot,CN,65.19,broken clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
595,Saint Anthony,US,73.99,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
597,Nacala,MZ,74.66,clear sky,-14.54,40.67,Nacala Plaza Business Design Hotel
611,Raga,SS,73.72,light rain,8.46,25.68,
613,Rosarito,MX,71.01,scattered clouds,32.33,-117.03,Hotel Festival Plaza Rosarito
619,Tsiroanomandidy,MG,73.58,broken clouds,-18.77,46.03,
625,Songea,TZ,71.6,few clouds,-10.68,35.65,mtakuja
628,Aksu,CN,74.79,scattered clouds,41.12,80.26,Pudong Holiday Hotel
631,Keokuk,US,73.4,clear sky,40.4,-91.38,Hampton Inn Keokuk
637,Ginir,ET,67.77,broken clouds,7.13,40.7,Sura Dare Village
641,Jasper,US,73.4,overcast clouds,37.2,-94.35,Guest House Motel
657,Tongzi,CN,70.43,moderate rain,28.78,105.09,
