City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Nanortalik,GL,2020-08-27 10:28:16,60.14,-45.24,45.5,78,82,4.63
71,Hami,CN,2020-08-27 10:28:16,42.8,93.45,85.05,13,80,7.38
72,Aklavik,CA,2020-08-27 10:28:16,68.22,-135.01,39.2,93,75,9.17
73,Huarmey,PE,2020-08-27 10:28:17,-10.07,-78.15,60.44,87,72,8.16
74,Qaanaaq,GL,2020-08-27 10:28:17,77.48,-69.36,38.25,88,100,12.19
75,San Policarpo,PH,2020-08-27 10:28:17,12.18,125.51,83.3,78,100,2.17
76,Cidreira,BR,2020-08-27 10:28:17,-30.18,-50.21,60.89,80,67,3.78
77,Kloulklubed,PW,2020-08-27 10:28:17,7.04,134.26,82.4,78,75,6.93
78,Teahupoo,PF,2020-08-27 10:28:17,-17.83,-149.27,75.2,78,100,2.24
79,Georgetown,MY,2020-08-27 10:28:17,5.41,100.34,89.01,66,20,4.7
80,Charters Towers,AU,2020-08-27 10:28:17,-20.1,146.27,64.2,57,27,10.4
81,Lasa,IT,2020-08-27 10:28:18,46.62,10.7,66.2,45,20,6.93
82,Fereydun Kenar,IR,2020-08-27 10:28:18,36.69,52.52,80.6,61,20,9.17
83,Inhambane,MZ,2020-08-27 10:28:18,-23.86,35.38,78.8,69,40,9.17
84,Popova,RU,2020-08-27 10:28:18,42.96,131.72,80.6,61,40,11.18
85,Clyde River,CA,2020-08-27 10:28:18,70.47,-68.59,41.0,80,1,4.7
86,Dumbraveni,RO,2020-08-27 10:28:18,46.23,24.57,79.0,47,75,10.29
87,Bredasdorp,ZA,2020-08-27 10:28:18,-34.53,20.04,64.4,45,0,5.82
88,Sagana,KE,2020-08-27 10:28:18,-0.67,37.2,80.28,44,72,5.03
89,Tasiilaq,GL,2020-08-27 10:28:18,65.61,-37.64,35.6,93,40,6.93
90,Pakhtakoron,TJ,2020-08-27 10:28:19,40.16,68.75,81.07,30,3,5.19
91,Constitucion,CL,2020-08-27 10:28:19,-35.33,-72.42,45.95,88,12,4.09
92,Castro,BR,2020-08-27 10:28:19,-24.79,-50.01,45.73,67,0,1.97
93,New Norfolk,AU,2020-08-27 10:28:19,-42.78,147.06,45.0,85,98,1.99
94,Dunedin,NZ,2020-08-27 10:28:19,-45.87,170.5,43.0,90,66,1.99
95,Fairbanks,US,2020-08-27 10:25:02,64.84,-147.72,53.6,93,90,4.7
96,Iberia,US,2020-08-27 10:28:19,29.95,-91.75,80.6,94,90,31.09
97,Lebu,CL,2020-08-27 10:28:19,-37.62,-73.65,47.21,89,97,8.48
98,Sao Filipe,CV,2020-08-27 10:28:19,14.9,-24.5,77.85,85,82,5.41
99,Kapaa,US,2020-08-27 10:28:20,22.08,-159.32,72.0,78,40,14.99
100,Ribeira Grande,PT,2020-08-27 10:28:20,38.52,-28.7,75.2,94,40,2.24
101,Cherskiy,RU,2020-08-27 10:28:20,68.75,161.3,39.18,92,100,7.49
102,Souillac,MU,2020-08-27 10:28:20,-20.52,57.52,77.0,61,40,14.99
103,Sinop,TR,2020-08-27 10:28:20,41.77,34.87,77.0,65,67,12.75
104,Zhigalovo,RU,2020-08-27 10:28:20,54.81,105.16,68.81,51,56,5.03
105,Elizabeth City,US,2020-08-27 10:28:20,36.29,-76.25,75.2,94,1,9.17
106,Kasempa,ZM,2020-08-27 10:28:20,-13.46,25.83,90.61,20,85,6.38
107,Khatanga,RU,2020-08-27 10:28:21,71.97,102.5,69.87,48,11,6.87
108,Krasnoselkup,RU,2020-08-27 10:28:21,65.7,82.47,68.36,59,92,6.44
109,Adrar,MR,2020-08-27 10:28:21,20.5,-10.07,94.41,34,0,3.42
110,Vanimo,PG,2020-08-27 10:28:21,-2.67,141.3,80.78,81,2,7.4
111,Tatawin,TN,2020-08-27 10:28:21,32.93,10.45,84.2,48,0,6.93
112,Sobolevo,RU,2020-08-27 10:28:21,54.43,31.9,59.99,92,100,9.48
113,Esna,EG,2020-08-27 10:28:21,25.29,32.55,96.8,25,0,12.75
114,Bay Roberts,CA,2020-08-27 10:23:34,47.6,-53.26,54.0,1,0,7.43
115,Chokurdakh,RU,2020-08-27 10:24:06,70.63,147.92,38.8,84,100,9.26
116,Mehamn,NO,2020-08-27 10:28:22,71.04,27.85,46.4,75,75,9.17
117,Port Alfred,ZA,2020-08-27 10:28:22,-33.59,26.89,68.72,55,20,18.41
118,Bonthe,SL,2020-08-27 10:28:22,7.53,-12.51,79.99,80,71,10.54
119,Taltal,CL,2020-08-27 10:28:22,-25.4,-70.48,53.24,72,0,2.37
120,Dikson,RU,2020-08-27 10:28:22,73.51,80.55,46.08,96,60,5.32
121,Terrace Bay,CA,2020-08-27 10:28:22,48.78,-87.1,60.94,96,74,4.47
122,Puerto Ayora,EC,2020-08-27 10:28:23,-0.74,-90.35,64.0,96,8,5.01
123,Carnarvon,AU,2020-08-27 10:28:23,-24.87,113.63,69.8,73,63,11.41
124,Hollister,US,2020-08-27 10:26:08,36.85,-121.4,55.99,93,90,1.59
125,Ust-Tsilma,RU,2020-08-27 10:28:23,65.44,52.15,61.92,89,94,4.5
126,Te Anau,NZ,2020-08-27 10:28:23,-45.42,167.72,36.61,86,87,1.63
127,Asau,RO,2020-08-27 10:28:23,46.43,26.4,84.2,37,20,13.87
128,Myitkyina,MM,2020-08-27 10:28:23,25.38,97.4,89.46,66,51,2.26
129,Vostok,RU,2020-08-27 10:28:24,46.49,135.88,63.59,94,100,1.81
130,Hernani,ES,2020-08-27 10:28:24,43.27,-1.98,82.4,58,0,1.12
131,Sur,OM,2020-08-27 10:24:16,22.57,59.53,91.76,56,0,3.51
132,Shelburne,CA,2020-08-27 10:28:24,44.08,-80.2,66.2,88,90,5.82
133,Katima Mulilo,NA,2020-08-27 10:28:24,-17.5,24.27,93.2,10,35,5.82
134,Tashara,RU,2020-08-27 10:28:24,55.52,83.51,66.0,75,77,4.14
135,Sainte-Maxime,FR,2020-08-27 10:28:24,43.3,6.63,93.2,20,1,17.22
136,Torbay,CA,2020-08-27 10:28:25,47.67,-52.73,55.99,87,40,6.93
137,Trogir,HR,2020-08-27 10:28:25,43.51,16.25,88.0,43,20,4.7
138,Kodiak,US,2020-08-27 10:28:25,57.79,-152.41,48.2,87,90,4.7
139,Altay,CN,2020-08-27 10:28:25,47.87,88.12,68.14,31,100,8.43
140,Cap Malheureux,MU,2020-08-27 10:28:25,-19.98,57.61,77.0,65,1,8.01
141,Caravelas,BR,2020-08-27 10:28:25,-17.71,-39.25,70.09,89,52,7.05
142,Oliveira Dos Brejinhos,BR,2020-08-27 10:28:25,-12.32,-42.9,61.41,46,29,4.61
143,Naron,ES,2020-08-27 10:28:25,43.52,-8.15,71.6,88,75,3.36
144,Progreso,MX,2020-08-27 10:28:26,21.28,-89.67,77.0,92,73,9.93
145,Nador,MA,2020-08-27 10:28:26,35.17,-2.93,89.6,74,0,6.93
146,Challapata,BO,2020-08-27 10:28:26,-18.9,-66.77,34.07,80,0,0.58
147,Vila,PT,2020-08-27 10:28:26,42.03,-8.16,78.01,66,13,5.99
148,Kroya,ID,2020-08-27 10:28:26,-7.63,109.25,72.0,74,46,10.94
149,Awjilah,LY,2020-08-27 10:28:26,29.11,21.29,91.0,29,0,7.76
150,Saint Anthony,US,2020-08-27 10:28:26,45.02,-93.22,73.99,88,1,6.2
151,Miri,MY,2020-08-27 10:28:27,4.41,114.01,84.2,74,40,8.05
152,Esperance,AU,2020-08-27 10:28:27,-33.87,121.9,59.0,93,0,11.41
153,Simplicio Mendes,BR,2020-08-27 10:28:27,-7.85,-41.91,71.85,62,14,11.39
154,Centralia,US,2020-08-27 10:25:54,46.72,-122.95,53.01,100,20,1.23
155,Tura,IN,2020-08-27 10:25:11,25.52,90.22,82.24,81,34,5.79
156,Faya,SA,2020-08-27 10:28:27,18.39,42.45,86.0,57,75,13.87
157,Port Macquarie,AU,2020-08-27 10:25:04,-31.43,152.92,50.0,91,28,6.76
158,Aasiaat,GL,2020-08-27 10:28:27,68.71,-52.87,39.45,73,100,9.28
159,Richards Bay,ZA,2020-08-27 10:28:28,-28.78,32.04,71.94,47,25,13.42
160,Aksu,CN,2020-08-27 10:28:28,41.12,80.26,87.35,18,100,2.19
161,Bengkulu,ID,2020-08-27 10:25:39,-3.8,102.27,83.26,70,15,9.4
162,Qostanay,KZ,2020-08-27 10:28:28,53.17,63.58,78.8,39,3,6.71
163,Rocha,UY,2020-08-27 10:28:28,-34.48,-54.33,59.49,93,100,9.93
164,Qaqortoq,GL,2020-08-27 10:28:28,60.72,-46.03,44.6,75,75,4.7
165,Leku,ET,2020-08-27 10:28:28,6.87,38.45,69.82,72,97,6.22
166,Birao,CF,2020-08-27 10:28:28,10.28,22.79,86.09,67,21,4.32
167,Sirnak,TR,2020-08-27 10:28:29,37.52,42.46,100.4,13,0,4.7
168,Mitsamiouli,KM,2020-08-27 10:28:29,-11.38,43.28,80.6,74,40,12.75
169,Cortes,ES,2020-08-27 10:28:29,41.94,-1.44,84.2,42,0,6.93
170,Zhangjiakou,CN,2020-08-27 10:28:29,40.81,114.88,76.03,58,65,4.34
171,Airai,TL,2020-08-27 10:28:29,-8.93,125.41,58.44,80,87,5.3
172,Nyurba,RU,2020-08-27 10:28:29,63.28,118.33,59.38,45,0,1.39
173,Atar,MR,2020-08-27 10:28:29,20.52,-13.05,87.8,52,62,6.93
174,Tezu,IN,2020-08-27 10:28:29,27.92,96.17,86.65,71,30,0.85
175,Elko,US,2020-08-27 10:28:30,41.0,-115.5,63.0,58,1,1.72
176,Abu Dhabi,AE,2020-08-27 10:23:54,24.47,54.37,105.8,43,20,13.87
177,Trincomalee,LK,2020-08-27 10:28:03,8.57,81.23,85.14,73,73,17.85
178,Chhindwara,IN,2020-08-27 10:28:30,22.07,78.93,72.66,94,100,10.8
179,Lavrentiya,RU,2020-08-27 10:28:30,65.58,-171.0,44.73,91,48,1.21
180,Roros,NO,2020-08-27 10:28:30,62.57,11.38,48.2,66,75,11.41
181,Santa Marta,CO,2020-08-27 10:28:30,11.24,-74.2,75.99,89,68,3.62
182,Cam Ranh,VN,2020-08-27 10:28:30,11.92,109.16,91.4,59,40,3.36
183,Santiago Del Estero,AR,2020-08-27 10:28:31,-27.8,-64.26,61.72,52,90,9.44
184,La Ronge,CA,2020-08-27 10:28:31,55.1,-105.28,51.8,93,5,6.93
185,Independencia,BR,2020-08-27 10:28:31,-5.4,-40.31,73.65,75,55,5.55
186,Prince Rupert,CA,2020-08-27 10:28:31,54.32,-130.32,50.0,93,1,2.24
187,Bethel,US,2020-08-27 10:28:31,41.37,-73.41,62.6,88,90,3.36
188,Caconda,AO,2020-08-27 10:28:31,-13.73,15.07,79.95,26,22,7.54
189,Kano,NG,2020-08-27 10:28:31,12.0,8.52,82.4,74,20,6.93
190,Barabai,ID,2020-08-27 10:28:32,-2.58,115.38,82.99,66,91,2.04
191,Manta,EC,2020-08-27 10:26:21,-0.95,-80.73,67.03,83,100,3.87
192,Port Lincoln,AU,2020-08-27 10:28:32,-34.73,135.87,54.46,85,0,6.71
193,Meadow Lake,US,2020-08-27 10:28:32,34.8,-106.54,71.6,53,40,3.36
194,Udachnyy,RU,2020-08-27 10:24:06,66.42,112.4,67.55,32,64,3.33
195,Ouadda,CF,2020-08-27 10:28:32,8.08,22.4,86.13,63,50,2.35
196,Tazmalt,DZ,2020-08-27 10:28:32,36.39,4.4,82.4,65,0,5.82
197,Vuktyl,RU,2020-08-27 10:28:33,63.86,57.31,63.68,79,100,13.13
198,Riyadh,SA,2020-08-27 10:28:33,24.69,46.72,105.8,12,11,6.93
199,Parelhas,BR,2020-08-27 10:28:33,-6.69,-36.66,71.28,63,28,18.43
200,Carutapera,BR,2020-08-27 10:28:33,-1.2,-46.02,78.39,86,46,6.17
201,Hamilton,US,2020-08-27 10:28:33,39.18,-84.53,75.99,94,1,6.93
202,Provideniya,RU,2020-08-27 10:28:33,64.38,-173.3,50.32,79,90,0.27
203,Yellowknife,CA,2020-08-27 10:28:33,62.46,-114.35,53.6,100,90,6.93
204,Kyshtovka,RU,2020-08-27 10:28:34,56.55,76.63,66.72,64,76,9.08
205,Wattegama,LK,2020-08-27 10:28:34,6.8,81.48,89.6,62,75,14.99
206,Portree,GB,2020-08-27 10:28:34,57.41,-6.19,52.0,87,100,14.0
207,Zharkent,KZ,2020-08-27 10:28:34,44.16,80.0,67.3,48,99,2.17
208,Lensk,RU,2020-08-27 10:28:34,60.73,114.93,64.11,38,23,5.21
209,Khudumelapye,BW,2020-08-27 10:28:34,-23.88,24.75,80.89,23,18,15.05
210,Ramhormoz,IR,2020-08-27 10:28:34,31.28,49.6,111.2,16,0,6.93
211,Saskylakh,RU,2020-08-27 10:28:34,71.92,114.08,68.32,43,0,3.44
212,Mar Del Plata,AR,2020-08-27 10:24:35,-38.0,-57.56,46.99,100,20,10.29
213,Mayo,US,2020-08-27 10:28:35,38.89,-76.51,77.0,88,1,3.36
214,Kaputa,ZM,2020-08-27 10:28:35,-8.47,29.66,86.47,30,14,4.85
215,Norman Wells,CA,2020-08-27 10:28:35,65.28,-126.83,48.2,93,40,3.36
216,Dingle,PH,2020-08-27 10:28:35,11.0,122.67,80.46,84,30,6.76
217,Havelock,US,2020-08-27 10:28:35,34.88,-76.9,75.99,83,1,3.36
218,Mayya,RU,2020-08-27 10:28:35,61.73,130.28,62.6,21,0,6.71
219,Port Hardy,CA,2020-08-27 10:28:36,50.7,-127.42,46.4,100,5,3.36
220,Chara,RU,2020-08-27 10:28:36,56.91,118.26,61.48,45,0,4.85
221,Lazaro Cardenas,MX,2020-08-27 10:28:36,17.96,-102.2,76.96,92,100,8.39
222,Orikum,AL,2020-08-27 10:28:36,40.33,19.47,82.76,52,0,11.39
223,Umm Kaddadah,SD,2020-08-27 10:28:36,13.6,26.69,88.23,49,71,19.53
224,Victoria,HK,2020-08-27 10:26:09,22.29,114.16,87.01,66,56,11.01
225,San Juan,AR,2020-08-27 10:25:01,-31.54,-68.54,44.94,66,0,2.19
226,Shanhetun,CN,2020-08-27 10:28:36,44.7,127.2,70.63,94,100,22.1
227,Sofiyivka,UA,2020-08-27 10:28:37,48.05,33.87,82.4,28,54,8.95
228,Kidal,ML,2020-08-27 10:26:03,18.44,1.41,94.89,36,3,12.12
229,Lompoc,US,2020-08-27 10:24:55,34.64,-120.46,55.4,93,90,8.05
230,Pouebo,NC,2020-08-27 10:28:37,-20.4,164.57,67.12,76,52,16.33
231,Bela,IN,2020-08-27 10:28:37,25.93,81.98,91.49,61,93,13.76
232,Paamiut,GL,2020-08-27 10:28:37,61.99,-49.67,43.5,67,100,5.53
233,Pital,CO,2020-08-27 10:28:37,2.27,-75.8,64.08,76,62,3.67
234,Bronnoysund,NO,2020-08-27 10:28:37,65.46,12.2,51.8,81,40,4.7
235,Kamina,CD,2020-08-27 10:28:38,-8.74,24.99,96.21,26,98,1.88
236,Puerto Leguizamo,CO,2020-08-27 10:28:38,-0.19,-74.78,69.04,85,12,2.21
237,Zatoka,UA,2020-08-27 10:28:38,46.07,30.47,84.2,42,0,15.66
